time,lat,lon,disc
2021-07-26T15:19:29.0,33.0793524435981,-117.05865006348603,SIDEWINDER-1
2021-07-26T15:20:48.0,33.07956534482699,-117.05847267934627,BUZZZ-1
2021-07-26T15:21:53.0,33.07998042807616,-117.05791420144033,JUDGE-1
2021-07-26T15:22:17.0,33.079956451696916,-117.05776355559405,JUDGE-1
2021-07-26T15:22:37.0,33.079962000784796,-117.0578096756399,JUDGE-1
2021-07-26T15:23:22.0,33.07970268634443,-117.05763592206635,BUZZZ-1
2021-07-26T15:25:50.0,33.0788222359444,-117.05766961029705,JUDGE-1
2021-07-26T15:26:26.0,33.07892583430268,-117.05784347601991,JUDGE-1
2021-07-26T15:26:34.0,33.07890779096733,-117.05785170526543,JUDGE-1
2021-07-26T15:28:28.0,33.07929813079937,-117.05732236768682,SIDEWINDER-1
2021-07-26T15:31:54.0,33.080188001533436,-117.057522004539,BUZZZ-1
2021-07-26T15:33:14.0,33.080658019882556,-117.0574553037792,BUZZZ-1
2021-07-26T15:33:21.0,33.08067648822163,-117.05745758070853,BUZZZ-1
2021-07-26T15:35:09.0,33.08047312063965,-117.05772223752507,SIDEWINDER-1
2021-07-26T15:38:11.0,33.07978654778645,-117.05880352630913,SIDEWINDER-1
2021-07-26T15:38:25.0,33.07975897273478,-117.05865327095529,BUZZZ-1
2021-07-26T15:40:58.0,33.07948900723643,-117.05873883428876,JUDGE-1
2021-07-26T15:41:10.0,33.07949130036789,-117.05878720249771,JUDGE-1
2021-07-26T15:41:18.0,33.07949664915106,-117.0587957293306,JUDGE-1
2021-07-26T15:43:55.0,33.07930510132057,-117.05924688885501,DESTROYER-1
2021-07-26T15:46:35.0,33.07919934059217,-117.06019464436903,JUDGE-1
2021-07-26T15:47:29.0,33.07916662747765,-117.06024582842414,JUDGE-1
2021-07-26T15:51:08.0,33.0808052515043,-117.06102212064746,DESTROYER-1
2021-07-26T15:53:30.0,33.08133463480759,-117.06105398343047,JUDGE-1
2021-07-26T15:53:56.0,33.081391919430004,-117.06111650071553,JUDGE-1
2021-07-26T15:56:26.0,33.081491715054895,-117.0608814428015,DESTROYER-1
2021-07-26T15:59:34.0,33.081710365572306,-117.06124633360406,BUZZZ-1
2021-07-26T16:00:30.0,33.08191211930736,-117.06114794019136,JUDGE-1
2021-07-26T16:01:01.0,33.08208880426173,-117.06110384586538,JUDGE-1
2021-07-26T16:02:17.0,33.08222284706132,-117.06101008982554,DESTROYER-1
2021-07-26T16:03:54.0,33.08283939237667,-117.06080098472984,JUDGE-1
2021-07-26T16:04:05.0,33.08286504298396,-117.06082567482599,JUDGE-1
2021-07-26T16:06:27.0,33.083437411608884,-117.06098972691873,DESTROYER-1
2021-07-26T16:12:59.0,33.084272036757994,-117.06129612151076,JUDGE-1
2021-07-26T16:13:17.0,33.084178505909016,-117.06130307974175,JUDGE-1
2021-07-26T16:13:20.0,33.084181589248736,-117.06130814070157,JUDGE-1
2021-07-26T16:14:42.0,33.084451236394635,-117.06125837825887,SIDEWINDER-1
2021-07-26T16:16:35.0,33.08380390563821,-117.06172306513162,JUDGE-1
2021-07-26T16:17:00.0,33.08369437449042,-117.0617164575585,JUDGE-1
