Date,CourseID,RoundID,HoleID,Par,Tee,Pin,Length,DriveDist,MakeDist,Score,Result,ResultLabel
2021-08-04,wild_horse,2021-08-04-05-53-07_-_wild_horse,5,3,reg,X,466.000000,337.000000,18.000000,4,1,BOGEY
2021-08-04,wild_horse,2021-08-04-05-53-07_-_wild_horse,6,4,reg,X,735.000000,482.000000,10.000000,4,0,PAR
2021-08-04,wild_horse,2021-08-04-05-53-07_-_wild_horse,7,3,reg,X,451.000000,394.000000,14.000000,3,0,PAR
2021-08-04,wild_horse,2021-08-04-05-53-07_-_wild_horse,8,3,reg,X,431.000000,388.000000,6.000000,3,0,PAR
2021-08-04,wild_horse,2021-08-04-05-53-07_-_wild_horse,9,3,reg,X,420.000000,331.000000,4.000000,4,1,BOGEY
2021-08-04,wild_horse,2021-08-04-05-53-07_-_wild_horse,10,3,reg,X,387.000000,342.000000,1.000000,3,0,PAR
2021-08-04,wild_horse,2021-08-04-05-53-07_-_wild_horse,11,3,reg,X,364.000000,362.000000,22.000000,2,-1,BIRDIE
2021-08-04,wild_horse,2021-08-04-05-53-07_-_wild_horse,12,4,reg,X,643.000000,388.000000,3.000000,4,0,PAR
2021-08-04,wild_horse,2021-08-04-05-53-07_-_wild_horse,13,5,reg,X,948.000000,338.000000,15.000000,5,0,PAR
2021-08-04,wild_horse,2021-08-04-05-53-07_-_wild_horse,14,3,reg,X,370.000000,267.000000,11.000000,3,0,PAR
2021-08-04,wild_horse,2021-08-04-05-53-07_-_wild_horse,15,4,reg,X,620.000000,409.000000,9.000000,4,0,PAR
2021-08-04,wild_horse,2021-08-04-05-53-07_-_wild_horse,16,3,reg,X,378.000000,297.000000,3.000000,3,0,PAR
2021-08-10,kit_carson,2021-08-10-06-13-04_-_kit_carson,1,3,reg,A,326.000000,315.000000,27.000000,2,-1,BIRDIE
2021-08-10,kit_carson,2021-08-10-06-13-04_-_kit_carson,2,3,reg,A,278.000000,275.000000,5.000000,2,-1,BIRDIE
2021-08-10,kit_carson,2021-08-10-06-13-04_-_kit_carson,3,4,reg,B,488.000000,392.000000,29.000000,3,-1,BIRDIE
2021-08-10,kit_carson,2021-08-10-06-13-04_-_kit_carson,4,4,reg,B,469.000000,332.000000,26.000000,3,-1,BIRDIE
2021-08-10,kit_carson,2021-08-10-06-13-04_-_kit_carson,5,3,reg,A,273.000000,278.000000,5.000000,2,-1,BIRDIE
2021-08-10,kit_carson,2021-08-10-06-13-04_-_kit_carson,6,3,reg,A,214.000000,201.000000,14.000000,2,-1,BIRDIE
2021-08-10,kit_carson,2021-08-10-06-13-04_-_kit_carson,7,3,reg,A,254.000000,156.000000,38.000000,3,0,PAR
2021-08-10,kit_carson,2021-08-10-06-13-04_-_kit_carson,8,3,reg,A,254.000000,268.000000,8.000000,3,0,PAR
2021-08-10,kit_carson,2021-08-10-06-13-04_-_kit_carson,9,3,reg,A,252.000000,177.000000,5.000000,3,0,PAR
2021-08-10,kit_carson,2021-08-10-06-13-04_-_kit_carson,10,3,reg,A,289.000000,303.000000,22.000000,2,-1,BIRDIE
2021-08-10,kit_carson,2021-08-10-06-13-04_-_kit_carson,11,4,reg,D,510.000000,148.000000,19.000000,5,1,BOGEY
2021-08-10,kit_carson,2021-08-10-06-13-04_-_kit_carson,12,3,reg,B,298.000000,313.000000,17.000000,3,0,PAR
2021-08-10,kit_carson,2021-08-10-06-13-04_-_kit_carson,13,3,reg,B,332.000000,319.000000,14.000000,2,-1,BIRDIE
2021-08-10,kit_carson,2021-08-10-06-13-04_-_kit_carson,14,3,reg,A,386.000000,432.000000,14.000000,4,1,BOGEY
2021-08-10,kit_carson,2021-08-10-06-13-04_-_kit_carson,15,3,reg,A,260.000000,252.000000,8.000000,3,0,PAR
2021-08-10,kit_carson,2021-08-10-06-13-04_-_kit_carson,16,3,reg,A,268.000000,293.000000,6.000000,3,0,PAR
2021-08-10,kit_carson,2021-08-10-06-13-04_-_kit_carson,17,3,reg,B,236.000000,250.000000,14.000000,2,-1,BIRDIE
2021-08-10,kit_carson,2021-08-10-06-13-04_-_kit_carson,18,3,reg,B,351.000000,318.000000,5.000000,3,0,PAR
2021-08-10,kit_carson,2021-08-10-07-31-03_-_kit_carson,1,3,reg,A,326.000000,278.000000,11.000000,3,0,PAR
2021-08-10,kit_carson,2021-08-10-07-31-03_-_kit_carson,2,3,reg,A,278.000000,253.000000,3.000000,5,2,DOUBLE BOGEY
2021-08-10,kit_carson,2021-08-10-07-31-03_-_kit_carson,3,4,reg,B,488.000000,397.000000,21.000000,3,-1,BIRDIE
2021-08-10,kit_carson,2021-08-10-07-31-03_-_kit_carson,4,4,reg,B,469.000000,391.000000,13.000000,4,0,PAR
2021-08-10,kit_carson,2021-08-10-07-31-03_-_kit_carson,5,3,reg,A,273.000000,222.000000,22.000000,3,0,PAR
2021-08-10,kit_carson,2021-08-10-07-31-03_-_kit_carson,6,3,reg,A,214.000000,212.000000,13.000000,2,-1,BIRDIE
2021-08-10,kit_carson,2021-08-10-07-31-03_-_kit_carson,7,3,reg,A,254.000000,158.000000,12.000000,3,0,PAR
2021-08-10,kit_carson,2021-08-10-07-31-03_-_kit_carson,8,3,reg,A,254.000000,230.000000,17.000000,3,0,PAR
2021-08-10,kit_carson,2021-08-10-07-31-03_-_kit_carson,9,3,reg,A,252.000000,269.000000,21.000000,2,-1,BIRDIE
2021-08-10,kit_carson,2021-08-10-07-31-03_-_kit_carson,10,3,reg,A,289.000000,246.000000,20.000000,3,0,PAR
2021-08-10,kit_carson,2021-08-10-07-31-03_-_kit_carson,11,4,reg,D,510.000000,367.000000,39.000000,3,-1,BIRDIE
2021-08-10,kit_carson,2021-08-10-07-31-03_-_kit_carson,12,3,reg,B,298.000000,252.000000,11.000000,3,0,PAR
2021-08-10,kit_carson,2021-08-10-07-31-03_-_kit_carson,13,3,reg,B,332.000000,344.000000,7.000000,4,1,BOGEY
2021-08-10,kit_carson,2021-08-10-07-31-03_-_kit_carson,14,3,reg,A,386.000000,435.000000,3.000000,3,0,PAR
2021-08-10,kit_carson,2021-08-10-07-31-03_-_kit_carson,15,3,reg,A,260.000000,258.000000,9.000000,2,-1,BIRDIE
2021-08-10,kit_carson,2021-08-10-07-31-03_-_kit_carson,16,3,reg,A,268.000000,280.000000,7.000000,3,0,PAR
2021-08-10,kit_carson,2021-08-10-07-31-03_-_kit_carson,17,3,reg,B,236.000000,242.000000,18.000000,2,-1,BIRDIE
2021-08-10,kit_carson,2021-08-10-07-31-03_-_kit_carson,18,3,reg,B,351.000000,321.000000,30.000000,2,-1,BIRDIE
